height,blocktime,deviation
2136954,353,233
2136955,119,1
2136956,347,227
2136957,28,92
2136958,43,77
2136959,20,100
2136960,34,86
2136961,747,627
2136962,10,110
2136963,211,91
2136964,23,97
2136965,368,248
2136966,20,100
2136967,596,476
2136968,115,5
2136969,85,35
2136970,150,30
2136971,209,89
2136972,19,101
2136973,115,5
2136974,83,37
2136975,54,66
2136976,66,54
2136977,162,42
2136978,43,77
2136979,592,472
2136980,22,98
2136981,109,11
2136982,313,193
2136983,45,75
2136984,596,476
2136985,180,60
2136986,258,138
2136987,171,51
2136988,44,76
2136989,438,318
2136990,108,12
2136991,66,54
2136992,160,40
2136993,45,75
2136994,21,99
2136995,136,16
2136996,47,73
2136997,108,12
2136998,342,222
2136999,-2,122
2137000,75,45
2137001,123,3
2137002,60,60
2137003,30,90
2137004,90,30
2137005,471,351
2137006,9,111
2137007,386,266
2137008,36,84
2137009,78,42
2137010,354,234
2137011,497,377
2137012,71,49
2137013,257,137
2137014,110,10
2137015,47,73
2137016,224,104
2137017,40,80
2137018,73,47
2137019,77,43
2137020,171,51
2137021,11,109
2137022,-11,131
2137023,196,76
2137024,32,88
2137025,162,42
2137026,17,103
2137027,35,85
2137028,53,67
2137029,42,78
2137030,307,187
2137031,223,103
2137032,18,102
2137033,103,17
2137034,177,57
2137035,60,60
2137036,168,48
2137037,127,7
2137038,17,103
2137039,53,67
2137040,5,115
2137041,83,37
2137042,154,34
2137043,68,52
2137044,67,53
2137045,449,329
2137046,164,44
2137047,4,116
2137048,88,32
2137049,58,62
2137050,3,117
2137051,158,38
2137052,36,84
2137053,87,33
2137054,20,100
2137055,46,74
2137056,194,74
2137057,26,94
2137058,54,66
2137059,1,119
2137060,73,47
2137061,118,2
2137062,221,101
2137063,71,49
2137064,22,98
2137065,244,124
2137066,50,70
2137067,68,52
2137068,38,82
2137069,-3,123
2137070,199,79
2137071,10,110
2137072,55,65
2137073,325,205
2137074,233,113
2137075,439,319
2137076,8,112
2137077,152,32
2137078,30,90
2137079,261,141
2137080,154,34
2137081,193,73
2137082,68,52
2137083,98,22
2137084,-24,144
2137085,78,42
2137086,163,43
2137087,167,47
2137088,252,132
2137089,-12,132
2137090,305,185
2137091,455,335
2137092,14,106
2137093,193,73
2137094,347,227
2137095,46,74
2137096,271,151
2137097,205,85
2137098,157,37
2137099,165,45
2137100,21,99
2137101,185,65
2137102,75,45
2137103,182,62
2137104,446,326
2137105,74,46
2137106,249,129
2137107,107,13
2137108,114,6
2137109,149,29
2137110,252,132
2137111,94,26
2137112,13,107
2137113,135,15
2137114,27,93
2137115,260,140
2137116,38,82
2137117,271,151
2137118,352,232
2137119,217,97
2137120,8,112
2137121,51,69
2137122,12,108
2137123,266,146
2137124,89,31
2137125,80,40
2137126,150,30
2137127,22,98
2137128,700,580
2137129,297,177
2137130,102,18
2137131,24,96
2137132,28,92
2137133,226,106
2137134,98,22
2137135,15,105
2137136,17,103
2137137,40,80
2137138,66,54
2137139,161,41
2137140,60,60
2137141,-4,124
2137142,86,34
2137143,-12,132
2137144,142,22
2137145,21,99
2137146,136,16
2137147,25,95
2137148,-5,125
2137149,200,80
2137150,-3,123
2137151,425,305
2137152,252,132
2137153,27,93
2137154,307,187
2137155,51,69
2137156,51,69
2137157,245,125
2137158,190,70
2137159,9,111
2137160,16,104
2137161,97,23
2137162,-13,133
2137163,176,56
2137164,346,226
2137165,65,55
2137166,139,19
2137167,16,104
2137168,38,82
2137169,8,112
2137170,74,46
2137171,19,101
2137172,225,105
2137173,51,69
2137174,84,36
2137175,46,74
2137176,93,27
2137177,51,69
2137178,372,252
2137179,24,96
